date,unitname,id_sim,variant,case_type,value,date_intro,lag,params_1,params_2,parval_1,parval_2,fig,parval_2_new,lag_median,value_median
2021-11-25,ZA,11,Omicron BA.2,Community,1.0289015203936396,2021-11-08,17,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,11,Omicron BA.2,Community,1.0289015203936398,2021-11-08,17,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,110,Omicron BA.2,Community,1.506371156005526,2021-11-08,14,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,110,Omicron BA.2,Community,1.506371156005526,2021-11-08,14,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,110,Omicron BA.2,Community,1.506371156005526,2021-11-08,14,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,110,Omicron BA.2,Community,1.506371156005526,2021-11-08,14,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-29,ZA,111,Omicron BA.2,Community,1.0510379666733818,2021-11-08,21,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-29,ZA,111,Omicron BA.2,Community,1.0510379666733818,2021-11-08,21,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-29,ZA,111,Omicron BA.2,Community,1.0510379666733818,2021-11-08,21,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-29,ZA,111,Omicron BA.2,Community,1.0510379666733818,2021-11-08,21,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,112,Omicron BA.2,Community,1.9212494633547712,2021-11-08,17,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,112,Omicron BA.2,Community,1.9212494633547712,2021-11-08,17,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,112,Omicron BA.2,Community,1.9212494633547716,2021-11-08,17,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-25,ZA,112,Omicron BA.2,Community,1.9212494633547712,2021-11-08,17,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,113,Omicron BA.2,Community,1.1446344124819745,2021-11-08,18,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,113,Omicron BA.2,Community,1.1446344124819745,2021-11-08,18,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,113,Omicron BA.2,Community,1.1446344124819747,2021-11-08,18,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-26,ZA,113,Omicron BA.2,Community,1.1446344124819745,2021-11-08,18,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,114,Omicron BA.2,Community,1.2678756773516948,2021-11-08,14,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,114,Omicron BA.2,Community,1.2678756773516948,2021-11-08,14,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,114,Omicron BA.2,Community,1.2678756773516944,2021-11-08,14,Changing diagnostics,Changing sequencing,150%,200%,fig_3b,2,15,1.1848
2021-11-22,ZA,114,Omicron BA.2,Community,1.2678756773516948,2021-11-08,14,Changing diagnostics,Changing sequencing,200%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,115,Omicron BA.2,Community,1.1123551271603518,2021-11-08,15,Changing diagnostics,Changing sequencing,50%,200%,fig_3b,2,15,1.1848
2021-11-23,ZA,115,Omicron BA.2,Community,1.1123551271603518,2021-11-08,15,Changing diagnostics,Changing sequencing,100%,200%,fig_3b,2,15,1.1848
