code,event,Lineage,pearson_r,mae,rmse
CL,C_4_all,Others,0.9940442787828193,1.3555555555555556,3.4253953543107007
NG,C_4_all,Others,NA,0,0
PG,C_4_all,Others,NA,0,0
MA,C_4_all,Others,NA,0,0
OC_others,C_4_all,Others,NA,0,0
AF_others,C_4_all,Others,NA,0.25,0.5
AR,C_4_all,Others,0.8448962854311232,8.261111111111111,14.565655952731182
ZA,C_4_all,Others,NA,0.8666666666666667,1.6733200530681511
NZ,C_4_all,Others,NA,0,0
AU,C_4_all,Others,NA,0.2611111111111111,0.510990323891863
